tethya01_3315	twilhelma_v1_3557_len_5042
tethya01_6162	twilhelma_v1_4436_len_3253
tethya01_6572	twilhelma_v1_5812_len_1260
tethya01_6571	twilhelma_v1_5805_len_1274
tethya01_6165	twilhelma_v1_4454_len_3224
tethya01_6164	twilhelma_v1_5588_len_1623
tethya01_6167	twilhelma_v1_4497_len_3156
tethya01_6312	twilhelma_v1_4972_len_2392
tethya01_6313	twilhelma_v1_5039_len_2304
tethya01_6311	twilhelma_v1_4969_len_2394
tethya01_6316	twilhelma_v1_4984_len_2371
tethya01_6317	twilhelma_v1_4987_len_2368
tethya01_6314	twilhelma_v1_4976_len_2383
tethya01_6318	twilhelma_v1_5065_len_2272
tethya01_6319	twilhelma_v1_4991_len_2365
tethya01_3128	twilhelma_v1_3375_len_5464
tethya01_3129	twilhelma_v1_3378_len_5455
tethya01_3127	twilhelma_v1_3376_len_5462
tethya01_3122	twilhelma_v1_3370_len_5479
tethya01_3123	twilhelma_v1_3371_len_5479
tethya01_3120	twilhelma_v1_3369_len_5482
tethya01_3121	twilhelma_v1_3372_len_5479
tethya01_39	twilhelma_v1_1210_len_23993
tethya01_38	twilhelma_v1_2326_len_9020
tethya01_7049	twilhelma_v1_1617_len_14734
tethya01_7048	twilhelma_v1_1616_len_14740
tethya01_33	twilhelma_v1_3142_len_6129
tethya01_32	twilhelma_v1_0444_len_78139
tethya01_31	twilhelma_v1_1561_len_15538
tethya01_30	twilhelma_v1_0910_len_37603
tethya01_7041	twilhelma_v1_1601_len_14949
tethya01_36	twilhelma_v1_1883_len_11374
tethya01_35	twilhelma_v1_1222_len_23459
tethya01_34	twilhelma_v1_0399_len_83221
tethya01_5630	twilhelma_v1_5657_len_1555
tethya01_5631	twilhelma_v1_5663_len_1546
tethya01_5635	twilhelma_v1_5661_len_1547
tethya01_5637	twilhelma_v1_5662_len_1547
tethya01_5638	twilhelma_v1_5664_len_1546
tethya01_5639	twilhelma_v1_5666_len_1544
tethya01_2060	twilhelma_v1_2504_len_8411
tethya01_2062	twilhelma_v1_2507_len_8400
tethya01_2063	twilhelma_v1_2506_len_8403
tethya01_2065	twilhelma_v1_2508_len_8396
tethya01_2066	twilhelma_v1_2509_len_8395
tethya01_2067	twilhelma_v1_2510_len_8392
tethya01_2069	twilhelma_v1_2511_len_8387
tethya01_4543	twilhelma_v1_4659_len_2860
tethya01_4545	twilhelma_v1_4660_len_2860
tethya01_4547	twilhelma_v1_4661_len_2860
tethya01_4549	twilhelma_v1_4668_len_2856
tethya01_4548	twilhelma_v1_4665_len_2857
tethya01_1489	twilhelma_v1_2165_len_9614
tethya01_5499	twilhelma_v1_5554_len_1672
tethya01_5494	twilhelma_v1_5632_len_1581
tethya01_5495	twilhelma_v1_5552_len_1675
tethya01_5496	twilhelma_v1_5555_len_1670
tethya01_5491	twilhelma_v1_5551_len_1676
tethya01_5492	twilhelma_v1_5549_len_1683
tethya01_5493	twilhelma_v1_5550_len_1681
tethya01_5942	twilhelma_v1_3098_len_6263
tethya01_5943	twilhelma_v1_3115_len_6193
tethya01_5940	twilhelma_v1_3066_len_6362
tethya01_5941	twilhelma_v1_3082_len_6313
tethya01_5946	twilhelma_v1_3131_len_6154
tethya01_5947	twilhelma_v1_3134_len_6150
tethya01_5944	twilhelma_v1_3145_len_6122
tethya01_5945	twilhelma_v1_3117_len_6190
tethya01_5948	twilhelma_v1_3150_len_6107
tethya01_5949	twilhelma_v1_3159_len_6079
tethya01_1449	twilhelma_v1_2100_len_9931
tethya01_1448	twilhelma_v1_2089_len_9967
tethya01_1443	twilhelma_v1_2113_len_9836
tethya01_1441	twilhelma_v1_2091_len_9950
tethya01_1440	twilhelma_v1_2090_len_9952
tethya01_1445	twilhelma_v1_2097_len_9937
tethya01_3333	twilhelma_v1_3591_len_4983
tethya01_3331	twilhelma_v1_3577_len_5005
tethya01_3330	twilhelma_v1_3572_len_5009
tethya01_3335	twilhelma_v1_3578_len_5005
tethya01_3334	twilhelma_v1_3583_len_4997
tethya01_3339	twilhelma_v1_3579_len_5001
tethya01_3338	twilhelma_v1_3580_len_5001
tethya01_6147	twilhelma_v1_4403_len_3307
tethya01_6146	twilhelma_v1_4361_len_3377
tethya01_6145	twilhelma_v1_4360_len_3378
tethya01_6144	twilhelma_v1_4351_len_3394
tethya01_6143	twilhelma_v1_4340_len_3407
tethya01_6141	twilhelma_v1_4620_len_2922
tethya01_6140	twilhelma_v1_4538_len_3077
tethya01_6148	twilhelma_v1_4376_len_3347
tethya01_5722	twilhelma_v1_5751_len_1401
tethya01_5720	twilhelma_v1_5748_len_1406
tethya01_5721	twilhelma_v1_5750_len_1402
tethya01_5726	twilhelma_v1_5834_len_1232
tethya01_7540	twilhelma_v1_0678_len_54531
tethya01_7541	twilhelma_v1_0413_len_81377
tethya01_7234	twilhelma_v1_1934_len_10746
tethya01_7543	twilhelma_v1_0508_len_71184
tethya01_7544	twilhelma_v1_1017_len_31843
tethya01_7233	twilhelma_v1_1917_len_10948
tethya01_7230	twilhelma_v1_1914_len_10955
tethya01_7548	twilhelma_v1_0589_len_62431
tethya01_7549	twilhelma_v1_1140_len_26800
tethya01_5725	twilhelma_v1_5757_len_1386
tethya01_7238	twilhelma_v1_1920_len_10911
tethya01_7239	twilhelma_v1_1922_len_10902
tethya01_4048	twilhelma_v1_4215_len_3661
tethya01_4049	twilhelma_v1_4208_len_3672
tethya01_4044	twilhelma_v1_4205_len_3676
tethya01_4045	twilhelma_v1_4206_len_3675
tethya01_4047	twilhelma_v1_4207_len_3673
tethya01_4040	twilhelma_v1_4202_len_3686
tethya01_4041	twilhelma_v1_4203_len_3683
tethya01_4043	twilhelma_v1_4204_len_3680
tethya01_1278	twilhelma_v1_4662_len_2859
tethya01_1279	twilhelma_v1_4734_len_2756
tethya01_5799	twilhelma_v1_5892_len_1111
tethya01_5798	twilhelma_v1_5869_len_1150
tethya01_1274	twilhelma_v1_4332_len_3429
tethya01_1275	twilhelma_v1_4726_len_2765
tethya01_5795	twilhelma_v1_5867_len_1154
tethya01_5794	twilhelma_v1_5870_len_1147
tethya01_1270	twilhelma_v1_4262_len_3576
tethya01_5792	twilhelma_v1_5861_len_1169
tethya01_1272	twilhelma_v1_4287_len_3511
tethya01_1273	twilhelma_v1_4330_len_3433
tethya01_429	twilhelma_v1_0923_len_37085
tethya01_428	twilhelma_v1_0845_len_41454
tethya01_421	twilhelma_v1_2495_len_8431
tethya01_420	twilhelma_v1_0072_len_178527
tethya01_423	twilhelma_v1_0400_len_82856
tethya01_422	twilhelma_v1_0575_len_63406
tethya01_425	twilhelma_v1_1862_len_11644
tethya01_424	twilhelma_v1_1194_len_24931
tethya01_427	twilhelma_v1_0121_len_151956
tethya01_426	twilhelma_v1_0006_len_342900
tethya01_4228	twilhelma_v1_4383_len_3335
tethya01_4956	twilhelma_v1_5062_len_2275
tethya01_4221	twilhelma_v1_4370_len_3359
tethya01_4223	twilhelma_v1_4366_len_3369
tethya01_4952	twilhelma_v1_5057_len_2285
tethya01_4950	twilhelma_v1_5073_len_2264
tethya01_4227	twilhelma_v1_4368_len_3364
tethya01_1058	twilhelma_v1_0522_len_69753
tethya01_1059	twilhelma_v1_0338_len_93255
tethya01_5578	twilhelma_v1_5615_len_1592
tethya01_1050	twilhelma_v1_0168_len_134547
tethya01_1051	twilhelma_v1_1171_len_25695
tethya01_1052	twilhelma_v1_1139_len_26884
tethya01_1053	twilhelma_v1_0662_len_55494
tethya01_1054	twilhelma_v1_0036_len_222645
tethya01_1055	twilhelma_v1_0331_len_94265
tethya01_1056	twilhelma_v1_1375_len_19083
tethya01_1057	twilhelma_v1_0309_len_98561
tethya01_6626	twilhelma_v1_5913_len_1075
tethya01_6624	twilhelma_v1_5901_len_1100
tethya01_6622	twilhelma_v1_5897_len_1104
tethya01_7491	twilhelma_v1_0536_len_68165
tethya01_6623	twilhelma_v1_5899_len_1102
tethya01_6621	twilhelma_v1_5894_len_1105
tethya01_2509	twilhelma_v1_2836_len_7119
tethya01_2503	twilhelma_v1_2838_len_7118
tethya01_2500	twilhelma_v1_2839_len_7118
tethya01_2507	twilhelma_v1_2835_len_7122
tethya01_2505	twilhelma_v1_2837_len_7119
tethya01_2504	twilhelma_v1_2857_len_7043
tethya01_6082	twilhelma_v1_4087_len_3905
tethya01_6083	twilhelma_v1_4088_len_3903
tethya01_6080	twilhelma_v1_4082_len_3922
tethya01_6081	twilhelma_v1_4083_len_3921
tethya01_6086	twilhelma_v1_4098_len_3895
tethya01_6087	twilhelma_v1_4104_len_3877
tethya01_6084	twilhelma_v1_4090_len_3902
tethya01_6085	twilhelma_v1_4094_len_3899
tethya01_6088	twilhelma_v1_4144_len_3790
tethya01_6089	twilhelma_v1_4115_len_3855
tethya01_3105	twilhelma_v1_3356_len_5544
tethya01_3107	twilhelma_v1_3358_len_5524
tethya01_3100	twilhelma_v1_3348_len_5565
tethya01_3101	twilhelma_v1_3349_len_5564
tethya01_3102	twilhelma_v1_3353_len_5556
tethya01_3108	twilhelma_v1_3359_len_5522
tethya01_3109	twilhelma_v1_3362_len_5512
tethya01_168	twilhelma_v1_1742_len_12819
tethya01_169	twilhelma_v1_1703_len_13401
tethya01_164	twilhelma_v1_1925_len_10868
tethya01_165	twilhelma_v1_1775_len_12459
tethya01_166	twilhelma_v1_1067_len_29762
tethya01_167	twilhelma_v1_3445_len_5294
tethya01_160	twilhelma_v1_1656_len_14059
tethya01_161	twilhelma_v1_2458_len_8570
tethya01_162	twilhelma_v1_0480_len_73988
tethya01_163	twilhelma_v1_1587_len_15116
tethya01_7939	twilhelma_v1_3505_len_5167
tethya01_7938	twilhelma_v1_3600_len_4965
tethya01_7687	twilhelma_v1_1162_len_25926
tethya01_7686	twilhelma_v1_1120_len_27644
tethya01_7685	twilhelma_v1_0948_len_35922
tethya01_7932	twilhelma_v1_4212_len_3668
tethya01_7935	twilhelma_v1_3559_len_5034
tethya01_7934	twilhelma_v1_4164_len_3740
tethya01_7681	twilhelma_v1_0708_len_52123
tethya01_7936	twilhelma_v1_3749_len_4658
tethya01_6338	twilhelma_v1_5071_len_2265
tethya01_6339	twilhelma_v1_5081_len_2257
tethya01_6888	twilhelma_v1_1187_len_25101
tethya01_6882	twilhelma_v1_1247_len_22533
tethya01_6883	twilhelma_v1_1169_len_25715
tethya01_6332	twilhelma_v1_5682_len_1527
tethya01_6886	twilhelma_v1_1185_len_25193
tethya01_6887	twilhelma_v1_1192_len_24939
tethya01_6336	twilhelma_v1_5282_len_1978
tethya01_6337	twilhelma_v1_5070_len_2266
tethya01_7068	twilhelma_v1_1666_len_13963
tethya01_19	twilhelma_v1_1396_len_18763
tethya01_18	twilhelma_v1_0230_len_116184
tethya01_15	twilhelma_v1_1518_len_16299
tethya01_7062	twilhelma_v1_1649_len_14206
tethya01_17	twilhelma_v1_3752_len_4647
tethya01_16	twilhelma_v1_1729_len_13010
tethya01_11	twilhelma_v1_4051_len_4001
tethya01_10	twilhelma_v1_2558_len_8190
tethya01_7065	twilhelma_v1_1664_len_13986
tethya01_7064	twilhelma_v1_1642_len_14347
tethya01_4569	twilhelma_v1_4689_len_2823
tethya01_4567	twilhelma_v1_4727_len_2765
tethya01_4566	twilhelma_v1_4682_len_2833
tethya01_4565	twilhelma_v1_4680_len_2836
tethya01_4564	twilhelma_v1_4679_len_2837
tethya01_4563	twilhelma_v1_4678_len_2840
tethya01_4562	twilhelma_v1_4676_len_2841
tethya01_4561	twilhelma_v1_4674_len_2842
tethya01_4560	twilhelma_v1_4683_len_2832
tethya01_5968	twilhelma_v1_3290_len_5719
tethya01_5969	twilhelma_v1_3308_len_5670
tethya01_5960	twilhelma_v1_3696_len_4762
tethya01_5961	twilhelma_v1_3224_len_5921
tethya01_5962	twilhelma_v1_3236_len_5891
tethya01_5963	twilhelma_v1_3237_len_5891
tethya01_5964	twilhelma_v1_3242_len_5879
tethya01_5966	twilhelma_v1_3246_len_5856
tethya01_5967	twilhelma_v1_3280_len_5777
tethya01_1422	twilhelma_v1_2076_len_9989
tethya01_1425	twilhelma_v1_2079_len_9982
tethya01_1424	twilhelma_v1_2078_len_9985
tethya01_1427	twilhelma_v1_2080_len_9980
tethya01_1426	twilhelma_v1_2081_len_9980
tethya01_1429	twilhelma_v1_2083_len_9977
tethya01_1428	twilhelma_v1_2082_len_9978
tethya01_3999	twilhelma_v1_4166_len_3739
tethya01_3446	twilhelma_v1_3682_len_4786
tethya01_3358	twilhelma_v1_3598_len_4970
tethya01_3351	twilhelma_v1_3595_len_4979
tethya01_3350	twilhelma_v1_3662_len_4824
tethya01_3353	twilhelma_v1_3599_len_4970
tethya01_3352	twilhelma_v1_3594_len_4980
tethya01_3355	twilhelma_v1_3596_len_4977
tethya01_3357	twilhelma_v1_3601_len_4965
tethya01_5218	twilhelma_v1_5309_len_1945
tethya01_5219	twilhelma_v1_5335_len_1913
tethya01_5214	twilhelma_v1_5303_len_1953
tethya01_5215	twilhelma_v1_5305_len_1950
tethya01_5212	twilhelma_v1_5301_len_1954
tethya01_5210	twilhelma_v1_5300_len_1955
tethya01_757	twilhelma_v1_0902_len_38312
tethya01_756	twilhelma_v1_0530_len_68620
tethya01_755	twilhelma_v1_0547_len_66770
tethya01_754	twilhelma_v1_2068_len_10031
tethya01_753	twilhelma_v1_1746_len_12808
tethya01_752	twilhelma_v1_0126_len_150594
tethya01_751	twilhelma_v1_0040_len_217481
tethya01_750	twilhelma_v1_2261_len_9273
tethya01_3449	twilhelma_v1_3686_len_4779
tethya01_759	twilhelma_v1_0873_len_40022
tethya01_758	twilhelma_v1_0201_len_124297
tethya01_1037	twilhelma_v1_0621_len_59560
tethya01_289	twilhelma_v1_1610_len_14825
tethya01_288	twilhelma_v1_1827_len_12026
tethya01_285	twilhelma_v1_1867_len_11587
tethya01_284	twilhelma_v1_1896_len_11175
tethya01_287	twilhelma_v1_1864_len_11638
tethya01_286	twilhelma_v1_2520_len_8347
tethya01_281	twilhelma_v1_1456_len_17544
tethya01_280	twilhelma_v1_4085_len_3915
tethya01_283	twilhelma_v1_1841_len_11823
tethya01_282	twilhelma_v1_2665_len_7767
tethya01_7219	twilhelma_v1_1901_len_11127
tethya01_7214	twilhelma_v1_1905_len_11106
tethya01_7210	twilhelma_v1_1895_len_11177
tethya01_1031	twilhelma_v1_0486_len_73372
tethya01_5623	twilhelma_v1_5654_len_1561
tethya01_999	twilhelma_v1_1150_len_26281
tethya01_998	twilhelma_v1_1001_len_32631
tethya01_991	twilhelma_v1_0885_len_39416
tethya01_990	twilhelma_v1_1095_len_28941
tethya01_993	twilhelma_v1_0242_len_113975
tethya01_992	twilhelma_v1_0967_len_34553
tethya01_995	twilhelma_v1_0897_len_38496
tethya01_994	twilhelma_v1_1062_len_29945
tethya01_997	twilhelma_v1_1077_len_29279
tethya01_996	twilhelma_v1_0565_len_64513
tethya01_3192	twilhelma_v1_3450_len_5280
tethya01_4028	twilhelma_v1_4226_len_3643
tethya01_3190	twilhelma_v1_3447_len_5287
tethya01_4020	twilhelma_v1_4189_len_3708
tethya01_4026	twilhelma_v1_4187_len_3709
tethya01_4025	twilhelma_v1_4188_len_3709
tethya01_5774	twilhelma_v1_5829_len_1238
tethya01_1218	twilhelma_v1_2358_len_8908
tethya01_1219	twilhelma_v1_2376_len_8843
tethya01_5770	twilhelma_v1_5818_len_1256
tethya01_5773	twilhelma_v1_5827_len_1241
tethya01_5772	twilhelma_v1_5825_len_1243
tethya01_1212	twilhelma_v1_2274_len_9231
tethya01_1213	twilhelma_v1_2286_len_9181
tethya01_1210	twilhelma_v1_2236_len_9354
tethya01_1211	twilhelma_v1_2241_len_9336
tethya01_1216	twilhelma_v1_2307_len_9095
tethya01_1217	twilhelma_v1_2355_len_8912
tethya01_1214	twilhelma_v1_2300_len_9132
tethya01_1215	twilhelma_v1_2306_len_9096
tethya01_4791	twilhelma_v1_4997_len_2358
tethya01_4792	twilhelma_v1_4915_len_2467
tethya01_4977	twilhelma_v1_5085_len_2253
tethya01_4970	twilhelma_v1_5077_len_2259
tethya01_4795	twilhelma_v1_4906_len_2479
tethya01_4796	twilhelma_v1_4908_len_2477
tethya01_4973	twilhelma_v1_5083_len_2255
tethya01_4799	twilhelma_v1_4938_len_2427
tethya01_5513	twilhelma_v1_5565_len_1653
tethya01_5517	twilhelma_v1_5584_len_1625
tethya01_6018	twilhelma_v1_3725_len_4713
tethya01_5551	twilhelma_v1_5594_len_1617
tethya01_5002	twilhelma_v1_5140_len_2182
tethya01_6010	twilhelma_v1_3612_len_4932
tethya01_113	twilhelma_v1_2593_len_8058
tethya01_112	twilhelma_v1_2574_len_8130
tethya01_115	twilhelma_v1_0642_len_57982
tethya01_114	twilhelma_v1_0731_len_49834
tethya01_2744	twilhelma_v1_3048_len_6427
tethya01_2747	twilhelma_v1_3052_len_6419
tethya01_2746	twilhelma_v1_3050_len_6425
tethya01_2741	twilhelma_v1_3044_len_6437
tethya01_2740	twilhelma_v1_3042_len_6442
tethya01_2743	twilhelma_v1_3045_len_6431
tethya01_6016	twilhelma_v1_3694_len_4765
tethya01_2749	twilhelma_v1_3053_len_6408
tethya01_2748	twilhelma_v1_3051_len_6422
tethya01_2561	twilhelma_v1_2881_len_6963
tethya01_2560	twilhelma_v1_2884_len_6959
tethya01_2563	twilhelma_v1_2886_len_6950
tethya01_2564	twilhelma_v1_2959_len_6708
tethya01_2295	twilhelma_v1_2673_len_7737
tethya01_2299	twilhelma_v1_2675_len_7733
tethya01_2298	twilhelma_v1_2671_len_7740
tethya01_6723	twilhelma_v1_1227_len_23332
tethya01_6722	twilhelma_v1_1234_len_23023
tethya01_6721	twilhelma_v1_1039_len_30898
tethya01_6727	twilhelma_v1_1069_len_29735
tethya01_5483	twilhelma_v1_5547_len_1684
tethya01_5482	twilhelma_v1_5542_len_1690
tethya01_6724	twilhelma_v1_1060_len_30043
tethya01_5487	twilhelma_v1_5611_len_1594
tethya01_5486	twilhelma_v1_5543_len_1688
tethya01_5485	twilhelma_v1_5544_len_1687
tethya01_3162	twilhelma_v1_3420_len_5348
tethya01_3163	twilhelma_v1_3423_len_5344
tethya01_3160	twilhelma_v1_3408_len_5371
tethya01_3161	twilhelma_v1_3409_len_5368
tethya01_3167	twilhelma_v1_3416_len_5350
tethya01_3164	twilhelma_v1_3412_len_5359
tethya01_3165	twilhelma_v1_3413_len_5358
tethya01_3168	twilhelma_v1_3419_len_5349
tethya01_3169	twilhelma_v1_3417_len_5350
tethya01_148	twilhelma_v1_1873_len_11496
tethya01_149	twilhelma_v1_1336_len_20145
tethya01_142	twilhelma_v1_1353_len_19572
tethya01_143	twilhelma_v1_2406_len_8725
tethya01_140	twilhelma_v1_0912_len_37591
tethya01_141	twilhelma_v1_0135_len_146006
tethya01_146	twilhelma_v1_1769_len_12552
tethya01_147	twilhelma_v1_2258_len_9281
tethya01_144	twilhelma_v1_1498_len_16748
tethya01_145	twilhelma_v1_2022_len_10159
tethya01_7917	twilhelma_v1_0453_len_76933
tethya01_7916	twilhelma_v1_0581_len_63139
tethya01_7915	twilhelma_v1_0692_len_53004
tethya01_7914	twilhelma_v1_0088_len_171745
tethya01_7913	twilhelma_v1_0250_len_111870
tethya01_7912	twilhelma_v1_0107_len_157984
tethya01_7911	twilhelma_v1_0483_len_73701
tethya01_7910	twilhelma_v1_0022_len_247220
tethya01_7668	twilhelma_v1_0712_len_51625
tethya01_7919	twilhelma_v1_0489_len_73051
tethya01_7918	twilhelma_v1_0283_len_102481
tethya01_77	twilhelma_v1_1956_len_10503
tethya01_76	twilhelma_v1_1364_len_19278
tethya01_7003	twilhelma_v1_1584_len_15198
tethya01_74	twilhelma_v1_3429_len_5330
tethya01_73	twilhelma_v1_1646_len_14251
tethya01_72	twilhelma_v1_0587_len_62702
tethya01_7007	twilhelma_v1_0354_len_91074
tethya01_70	twilhelma_v1_1803_len_12243
tethya01_7009	twilhelma_v1_1524_len_16205
tethya01_7008	twilhelma_v1_1526_len_16173
tethya01_79	twilhelma_v1_1038_len_30940
tethya01_78	twilhelma_v1_1900_len_11155
tethya01_1155	twilhelma_v1_3361_len_5516
tethya01_5530	twilhelma_v1_5573_len_1636
tethya01_4585	twilhelma_v1_4701_len_2801
tethya01_4584	twilhelma_v1_4700_len_2803
tethya01_4586	twilhelma_v1_4702_len_2800
tethya01_4581	twilhelma_v1_4695_len_2811
tethya01_4580	twilhelma_v1_4705_len_2794
tethya01_4583	twilhelma_v1_4697_len_2807
tethya01_4589	twilhelma_v1_4708_len_2790
tethya01_4588	twilhelma_v1_4706_len_2794
tethya01_5707	twilhelma_v1_5730_len_1451
tethya01_1156	twilhelma_v1_3734_len_4693
