## 1.1.1
## assembly	: /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/renamed_Tethya_minuta_all_LRScaf_2.fasta
## coverage	 bam0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/sorted_scaffolds.bam
## taxonomy	 tax0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/copy_megablast.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
Scaffolds_62	107981	0.4057	7299	100.2616	undef	3932.0	0
Scaffolds_63	259293	0.3906	2261	0.3376	undef	436.0	0
Scaffolds_64	32001	0.3619	2692	17.5583	no-hit	0.0	0
Scaffolds_65	32632	0.572	6338	0.0	undef	4246.0	0
Scaffolds_66	269863	0.3788	5804	3.5222	no-hit	0.0	0
Scaffolds_67	53212	0.3927	2410	0.4971	no-hit	0.0	0
Scaffolds_68	25947	0.372	3525	5.4757	no-hit	0.0	0
Scaffolds_69	754858	0.5872	16668	0.0031	undef	5062.0	0
Scaffolds_70	7470	0.3841	0	20.333	no-hit	0.0	0
Scaffolds_71	457773	0.3764	0	28.0013	no-hit	0.0	0
Scaffolds_72	530323	0.3836	0	16.5745	no-hit	0.0	0
Scaffolds_73	417684	0.478	1830	0.0055	undef	3051.0	0
Scaffolds_74	60570	0.3692	2613	0.9681	no-hit	0.0	0
Scaffolds_75	167010	0.379	0	0.1089	undef	224.0	0
Scaffolds_76	138639	0.3898	6095	0.0686	no-hit	0.0	0
Scaffolds_77	88722	0.5593	0	0.0145	undef	1631.0	0
Scaffolds_78	102952	0.5829	1040	0.0	undef	26498.0	0
Scaffolds_79	36965	0.6419	0	0.0	undef	1844.0	0
Scaffolds_80	285074	0.6137	0	0.0019	undef	1284.0	0
Scaffolds_81	901155	0.6383	0	0.0042	undef	2098.0	0
Scaffolds_82	127224	0.6454	10681	0.0	undef	2494.0	0
Scaffolds_83	297684	0.3872	696	20.2016	undef	289.0	0
Scaffolds_84	469797	0.628	2321	0.0006	undef	1472.0	0
Scaffolds_85	306253	0.3829	0	18.0486	no-hit	0.0	0
Scaffolds_86	28469	0.3678	0	0.1839	no-hit	0.0	0
Scaffolds_87	10970	0.3594	0	0.0	no-hit	0.0	0
Scaffolds_88	164384	0.382	17380	0.0381	no-hit	0.0	0
Scaffolds_89	28527	0.3824	0	0.0032	no-hit	0.0	0
Scaffolds_90	36408	0.3802	0	1.7555	no-hit	0.0	0
Scaffolds_91	24122	0.3756	0	0.3655	no-hit	0.0	0
Scaffolds_92	227001	0.3816	0	6.941	undef	195.0	0
Scaffolds_93	659545	0.7044	4311	0.0	undef	2593.0	0
Scaffolds_94	16839	0.5563	0	0.0	undef	3794.0	0
Scaffolds_95	42883	0.7632	3093	0.0	no-hit	0.0	0
Scaffolds_96	1197368	0.3905	0	19.3075	undef	191.0	0
Scaffolds_97	51654	0.6774	3862	0.0	undef	1733.0	0
Scaffolds_98	644476	0.3828	7363	16.8255	undef	414.0	0
Scaffolds_99	494368	0.3848	2215	6.8364	undef	448.0	0
Scaffolds_100	314385	0.3843	304	2.6448	undef	255.0	0
Scaffolds_101	2071567	0.5322	209	0.0179	undef	2100.0	0
Scaffolds_102	7254	0.6228	0	0.0	undef	185.0	0
Scaffolds_103	745586	0.5966	0	0.0028	undef	1334.0	0
Scaffolds_104	472624	0.6094	0	0.0012	undef	1574.0	0
Scaffolds_105	152163	0.3984	8258	150.3833	undef	4229.0	0
Scaffolds_106	2148092	0.3908	14430	45.6882	undef	250.0	0
Scaffolds_107	63739	0.3811	13947	2.1006	no-hit	0.0	0
Scaffolds_108	36458	0.4729	9649	0.0	undef	254.0	0
Scaffolds_109	111827	0.3742	3308	14.6048	no-hit	0.0	0
Scaffolds_110	65322	0.3915	3688	10.5025	no-hit	0.0	0
Scaffolds_111	505903	0.3897	6987	54.3812	undef	226.0	0
Scaffolds_112	664379	0.5872	3080	0.0092	undef	5062.0	0
Scaffolds_113	132439	0.3879	9928	0.3883	no-hit	0.0	0
Scaffolds_114	52897	0.387	4411	0.4811	no-hit	0.0	0
Scaffolds_115	16482	0.2183	1606	0.0	no-hit	0.0	0
Scaffolds_116	139317	0.3753	3133	32.1107	no-hit	0.0	0
Scaffolds_117	17872	0.3698	4288	0.0	no-hit	0.0	0
Scaffolds_118	109355	0.3628	0	0.0143	no-hit	0.0	0
Scaffolds_119	73423	0.3824	0	0.0926	no-hit	0.0	0
Scaffolds_120	192530	0.3826	0	0.0816	no-hit	0.0	0
Scaffolds_121	60057	0.551	2150	0.0	no-hit	0.0	0
Scaffolds_122	107579	0.3867	2451	0.0114	no-hit	0.0	0
Scaffolds_123	1519745	0.3879	5073	27.8303	undef	176.0	0
Scaffolds_124	278038	0.3885	5231	1.8308	no-hit	0.0	0
Scaffolds_125	571100	0.6172	1374	0.0023	undef	2414.0	0
Scaffolds_126	57156	0.4907	7250	0.0	no-hit	0.0	0
Scaffolds_127	14829	0.3547	2759	0.0	undef	3487.0	0
Scaffolds_128	243824	0.652	3014	0.005	undef	1253.0	0
Scaffolds_129	5213	0.3992	0	0.0705	no-hit	0.0	0
Scaffolds_130	91565	0.3742	0	8.3461	no-hit	0.0	0
Scaffolds_131	30539	0.3625	0	0.2827	no-hit	0.0	0
Scaffolds_132	109201	0.4748	3299	0.0	undef	152.0	0
Scaffolds_133	132104	0.7224	4880	0.0	undef	1136.0	0
Scaffolds_134	396455	0.6365	14221	0.0099	undef	1816.0	0
Scaffolds_135	1077559	0.3845	12022	22.9861	undef	327.0	0
Scaffolds_136	1209476	0.6225	0	0.0003	undef	2778.0	0
Scaffolds_137	969337	0.3879	678	29.9331	undef	540.0	0
Scaffolds_138	148240	0.3796	2590	13.3846	no-hit	0.0	0
Scaffolds_139	87221	0.3841	0	30.4894	undef	289.0	0
Scaffolds_140	246063	0.3837	0	126.9815	undef	928.0	0
Scaffolds_141	500204	0.383	0	23.6618	no-hit	0.0	0
Scaffolds_142	479561	0.3772	2066	21.1412	undef	161.0	0
Scaffolds_143	553638	0.6509	4443	0.007	undef	1406.0	0
Scaffolds_144	111156	0.7076	9408	0.0	undef	1131.0	0
Scaffolds_145	211448	0.5992	7725	0.0009	undef	45325.0	0
Scaffolds_146	2027610	0.3873	5791	25.9616	undef	702.0	0
Scaffolds_147	140779	0.7219	2460	0.0013	undef	3003.0	0
Scaffolds_148	370252	0.4715	5105	0.0	undef	883.0	0
Scaffolds_149	239730	0.5823	5796	0.0106	undef	950.0	0
Scaffolds_150	1967258	0.3859	4924	24.3894	undef	320.0	0
Scaffolds_151	35084	0.3943	0	0.0393	no-hit	0.0	0
Scaffolds_152	63752	0.3843	0	6.2976	no-hit	0.0	0
Scaffolds_153	115109	0.3773	0	0.2696	no-hit	0.0	0
Scaffolds_154	39251	0.36	1382	0.0121	no-hit	0.0	0
Scaffolds_155	73930	0.3577	11357	0.7896	no-hit	0.0	0
Scaffolds_156	62392	0.3807	2648	0.0092	no-hit	0.0	0
Scaffolds_157	17870	0.3913	0	6.4235	no-hit	0.0	0
Scaffolds_158	89201	0.3824	0	14.2222	undef	750.0	0
Scaffolds_159	441878	0.3824	0	24.3794	undef	324.0	0
Scaffolds_160	675768	0.3821	2162	8.7299	undef	453.0	0
Scaffolds_161	223170	0.3882	3481	1.3827	no-hit	0.0	0
Scaffolds_162	137344	0.611	3932	0.0014	undef	671.0	0
Scaffolds_163	13592	0.6504	0	0.0	no-hit	0.0	0
Scaffolds_164	296665	0.6199	0	0.0019	undef	1157.0	0
Scaffolds_165	901155	0.6383	0	0.0056	undef	2098.0	0
Scaffolds_166	57315	0.7072	12510	0.0	no-hit	0.0	0
Scaffolds_167	498008	0.3856	1064	3.8599	no-hit	0.0	0
Scaffolds_168	57899	0.6912	14648	0.0	no-hit	0.0	0
Scaffolds_169	429912	0.596	1896	0.0004	undef	3193.0	0
Scaffolds_170	267716	0.3913	3388	1.5439	no-hit	0.0	0
Scaffolds_171	23012	0.3832	0	0.0758	no-hit	0.0	0
Scaffolds_172	334139	0.3795	1724	13.1709	no-hit	0.0	0
Scaffolds_173	144802	0.3858	0	0.3025	no-hit	0.0	0
Scaffolds_174	1043281	0.3833	0	28.3072	undef	420.0	0
Scaffolds_175	76459	0.6062	0	0.0	undef	479.0	0
Scaffolds_176	16961	0.6656	0	0.0	no-hit	0.0	0
Scaffolds_177	696990	0.3805	11539	0.0907	no-hit	0.0	0
Scaffolds_178	131254	0.3791	2152	15.6315	no-hit	0.0	0
Scaffolds_179	40215	0.5184	3865	0.0	no-hit	0.0	0
Scaffolds_180	32862	0.3789	0	3.3896	no-hit	0.0	0
Scaffolds_181	1992245	0.3872	14625	34.625	undef	267.0	0
Scaffolds_182	32859	0.4347	2577	0.0	no-hit	0.0	0
Scaffolds_183	12330	0.5846	2511	0.0	undef	3297.0	0
Scaffolds_184	1696831	0.6925	4779	0.0028	undef	3422.0	0
Scaffolds_185	25531	0.3736	8570	2.9995	no-hit	0.0	0
Scaffolds_186	96206	0.4049	123	26.97	no-hit	0.0	0
Scaffolds_187	260330	0.3759	0	3.6128	no-hit	0.0	0
Scaffolds_188	495100	0.6109	10568	0.0	undef	1437.0	0
Scaffolds_189	144240	0.5889	1016	0.0	undef	22663.0	0
Scaffolds_190	25893	0.6947	4431	0.0	undef	931.0	0
Scaffolds_191	441865	0.3843	9591	7.3154	undef	1114.0	0
Scaffolds_192	421802	0.391	2406	25.5281	undef	603.0	0
Scaffolds_193	876994	0.3833	2632	19.3487	undef	143.0	0
Scaffolds_194	35062	0.3791	1901	0.0138	no-hit	0.0	0
Scaffolds_195	858504	0.3802	2489	17.8623	undef	171.0	0
Scaffolds_196	541223	0.3949	2212	36.974	undef	185.0	0
Scaffolds_197	375203	0.7005	1579	0.0049	undef	2300.0	0
Scaffolds_198	36572	0.3737	8226	5.1931	no-hit	0.0	0
Scaffolds_199	480716	0.3766	7310	12.2272	no-hit	0.0	0
Scaffolds_200	1150242	0.382	647	12.2411	undef	577.0	0
Scaffolds_201	24441	0.3832	4550	6.491	no-hit	0.0	0
Scaffolds_202	5771	0.3388	0	0.5569	no-hit	0.0	0
Scaffolds_203	13840	0.3523	0	0.0	no-hit	0.0	0
Scaffolds_204	69890	0.3884	0	0.3456	no-hit	0.0	0
Scaffolds_205	24886	0.3766	0	1.3284	no-hit	0.0	0
Scaffolds_206	7231	0.382	0	0.9144	no-hit	0.0	0
Scaffolds_207	27040	0.3553	2550	0.0	undef	486.0	0
Scaffolds_208	262187	0.3812	1005	31.8141	no-hit	0.0	0
Scaffolds_209	344756	0.3848	2906	20.4001	undef	287.0	0
Scaffolds_210	1030245	0.3801	2657	21.6648	no-hit	0.0	0
Scaffolds_211	881861	0.393	4874	71.5245	undef	496.0	0
Scaffolds_212	108552	0.3856	7498	0.0518	no-hit	0.0	0
Scaffolds_213	54083	0.3906	12332	0.132	no-hit	0.0	0
Scaffolds_214	14596	0.3567	2351	0.0	undef	1559.0	0
Scaffolds_215	37304	0.3767	8545	0.3736	no-hit	0.0	0
Scaffolds_216	60564	0.579	0	0.0	undef	1742.0	0
Scaffolds_217	16403	0.3699	2895	0.0	undef	1267.0	0
Scaffolds_218	131451	0.3859	5704	37.4195	no-hit	0.0	0
Scaffolds_219	286800	0.3738	2315	11.088	undef	182.0	0
Scaffolds_220	183373	0.3762	432	0.123	no-hit	0.0	0
Scaffolds_221	6137	0.3942	0	0.1347	no-hit	0.0	0
Scaffolds_222	117403	0.392	3049	1.0696	no-hit	0.0	0
Scaffolds_223	43544	0.7158	1919	0.0132	no-hit	0.0	0
Scaffolds_224	984923	0.3826	10093	15.1141	undef	172.0	0
Scaffolds_225	271016	0.6317	8198	0.008	undef	1330.0	0
Scaffolds_226	350636	0.7085	3447	0.0011	undef	2394.0	0
Scaffolds_227	51383	0.3978	1712	0.3679	undef	1297.0	0
Scaffolds_228	342101	0.3798	0	10.8916	no-hit	0.0	0
Scaffolds_229	81042	0.3875	4018	0.3553	no-hit	0.0	0
Scaffolds_230	16115	0.5424	1309	0.0	no-hit	0.0	0
Scaffolds_231	143470	0.5946	0	0.0	undef	2071.0	0
Scaffolds_232	96607	0.7082	5793	0.0	undef	1123.0	0
Scaffolds_233	25436	0.592	3331	0.0	undef	5330.0	0
Scaffolds_234	269881	0.6364	1583	0.0003	undef	1162.0	0
Scaffolds_235	249446	0.6965	1722	0.0044	undef	3435.0	0
Scaffolds_236	1190679	0.5948	0	0.0	undef	1480.0	0
Scaffolds_237	487549	0.5782	1614	0.01	undef	5062.0	0
Scaffolds_238	25380	0.3775	0	5.1632	no-hit	0.0	0
Scaffolds_239	210643	0.3839	13191	4.0229	no-hit	0.0	0
Scaffolds_240	364443	0.6377	0	0.0025	undef	1260.0	0
Scaffolds_241	14208	0.5613	544	0.0	undef	767.0	0
Scaffolds_242	15137	0.7651	0	0.0	no-hit	0.0	0
Scaffolds_243	36383	0.368	0	0.0	no-hit	0.0	0
Scaffolds_244	160833	0.3849	3902	1.6665	no-hit	0.0	0
Scaffolds_245	35486	0.4468	10194	0.0	undef	268.0	0
Scaffolds_246	247850	0.3799	5537	13.2516	no-hit	0.0	0
Scaffolds_247	29941	0.227	492	0.0	no-hit	0.0	0
Scaffolds_248	65737	0.6348	4188	0.003	undef	139.0	0
Scaffolds_249	1577474	0.3876	0	17.2067	undef	287.0	0
Scaffolds_250	62711	0.3857	3350	0.8601	no-hit	0.0	0
Scaffolds_251	773658	0.3952	0	26.1176	undef	1079.0	0
Scaffolds_252	22306	0.3823	0	0.9757	no-hit	0.0	0
Scaffolds_253	763023	0.3915	9761	23.5577	undef	407.0	0
Scaffolds_254	5694	0.3704	0	0.0	no-hit	0.0	0
Scaffolds_255	31225	0.379	0	0.0324	no-hit	0.0	0
Scaffolds_256	39310	0.389	0	0.6261	no-hit	0.0	0
Scaffolds_257	7322	0.3401	0	0.0	no-hit	0.0	0
Scaffolds_258	861833	0.3816	2405	6.9527	no-hit	0.0	0
Scaffolds_259	734429	0.6997	0	0.004	undef	2551.0	0
Scaffolds_260	369669	0.3767	2994	0.4385	no-hit	0.0	0
Scaffolds_261	43602	0.3803	0	18.9128	no-hit	0.0	0
Scaffolds_262	51745	0.6598	0	0.0	undef	1105.0	0
Scaffolds_263	4821	0.5827	0	0.0	undef	3031.0	0
Scaffolds_264	43945	0.4446	0	0.0	undef	608.0	0
Scaffolds_265	12575	0.3909	0	4.513	no-hit	0.0	0
Scaffolds_266	5944	0.4531	0	0.0	no-hit	0.0	0
Scaffolds_267	29042	0.3555	0	0.0	undef	1356.0	0
Scaffolds_268	10929	0.5895	0	0.0	undef	5177.0	0
Scaffolds_269	8497	0.6953	0	0.0	no-hit	0.0	0
Scaffolds_270	6046	0.6596	0	0.0	no-hit	0.0	0
Scaffolds_271	21329	0.4803	0	0.0	no-hit	0.0	0
Scaffolds_272	8808	0.3697	0	0.0	no-hit	0.0	0
Scaffolds_273	16900	0.5321	0	0.0	undef	2833.0	0
Scaffolds_274	14464	0.3704	0	0.0	undef	887.0	0
Scaffolds_275	9507	0.7063	0	0.0	undef	405.0	0
Scaffolds_276	27174	0.3944	0	0.0135	no-hit	0.0	0
Scaffolds_277	25102	0.584	0	0.0	undef	148.0	0
Scaffolds_278	503841	0.3981	0	27.6598	undef	603.0	0
Scaffolds_279	29159	0.5773	0	0.0	undef	6900.0	0
Scaffolds_280	24758	0.5729	0	0.0	undef	2017.0	0
Scaffolds_281	4964	0.385	0	0.0	no-hit	0.0	0
Scaffolds_282	6352	0.67	0	0.0	no-hit	0.0	0
Scaffolds_283	34797	0.5838	0	0.0	no-hit	0.0	0
Scaffolds_284	4326	0.4182	0	0.0	no-hit	0.0	0
Scaffolds_285	5369	0.3541	0	0.0	undef	765.0	0
Scaffolds_286	9074	0.6028	0	0.0	undef	2309.0	0
Scaffolds_287	17442	0.3656	0	4.8384	no-hit	0.0	0
Scaffolds_288	22292	0.4804	0	0.0	undef	204.0	0
Scaffolds_289	5724	0.4607	0	0.0	no-hit	0.0	0
Scaffolds_290	39613	0.5503	0	0.0	undef	4913.0	0
Scaffolds_291	21968	0.4288	0	0.0	no-hit	0.0	0
Scaffolds_292	12692	0.2494	0	0.0	no-hit	0.0	0
Scaffolds_293	10397	0.4253	0	0.0	no-hit	0.0	0
Scaffolds_294	3624	0.7503	0	0.0	no-hit	0.0	0
Scaffolds_295	5970	0.3972	0	0.4768	no-hit	0.0	0
Scaffolds_296	6296	0.4744	0	0.0	no-hit	0.0	0
Scaffolds_297	26271	0.4114	0	0.0	no-hit	0.0	0
Scaffolds_298	8070	0.6063	0	0.0	undef	617.0	0
Scaffolds_299	10864	0.3416	0	0.0	undef	972.0	0
Scaffolds_300	419102	0.3801	0	11.4622	undef	187.0	0
Scaffolds_301	41490	0.4843	0	0.0	no-hit	0.0	0
Scaffolds_302	28400	0.5485	0	0.0	undef	281.0	0
Scaffolds_303	25380	0.3775	0	5.9918	no-hit	0.0	0
Scaffolds_304	15817	0.3773	0	3.5241	no-hit	0.0	0
Scaffolds_305	15311	0.5774	0	0.0	undef	1596.0	0
Scaffolds_306	66591	0.5697	0	0.0	undef	726.0	0
Scaffolds_307	6180	0.3317	0	0.0	undef	828.0	0
Scaffolds_308	5041	0.3827	0	0.0	no-hit	0.0	0
Scaffolds_309	16705	0.5773	0	0.0	undef	3825.0	0
Scaffolds_310	7366	0.5851	0	0.0	undef	5570.0	0
Scaffolds_311	5813	0.6573	0	0.0	no-hit	0.0	0
Scaffolds_312	4718	0.3855	0	0.0	no-hit	0.0	0
Scaffolds_313	29438	0.5842	0	0.0	undef	534.0	0
Scaffolds_314	6792	0.6335	0	0.0	undef	331.0	0
Scaffolds_315	46074	0.5722	0	0.0	undef	3404.0	0
Scaffolds_316	11185	0.3354	0	0.0	undef	1452.0	0
Scaffolds_317	291447	0.3808	0	38.4563	no-hit	0.0	0
Scaffolds_318	46897	0.5394	0	0.0	no-hit	0.0	0
Scaffolds_319	11013	0.3605	0	0.0	no-hit	0.0	0
Scaffolds_320	26362	0.585	0	0.0	undef	560.0	0
Scaffolds_321	6540	0.4072	0	0.0	no-hit	0.0	0
Scaffolds_322	167010	0.379	0	0.0825	undef	224.0	0
Scaffolds_323	6817	0.3522	0	0.0	no-hit	0.0	0
Scaffolds_324	35664	0.3797	0	16.6646	no-hit	0.0	0
Scaffolds_325	5119	0.387	0	0.0	undef	590.0	0
Scaffolds_326	339259	0.6332	0	0.5178	undef	2540.0	0
Scaffolds_327	7074	0.4187	0	0.0	no-hit	0.0	0
Scaffolds_328	40729	0.4756	0	0.0	undef	348.0	0
Scaffolds_329	7193	0.5366	0	0.0	undef	1144.0	0
Scaffolds_330	33737	0.3901	0	0.0735	no-hit	0.0	0
Scaffolds_331	7754	0.4625	0	0.0	no-hit	0.0	0
Scaffolds_332	8246	0.3719	0	0.0	no-hit	0.0	0
Scaffolds_333	7456	0.4789	0	0.0	no-hit	0.0	0
Scaffolds_334	54538	0.3851	0	0.8756	no-hit	0.0	0
Scaffolds_335	9029	0.4143	0	0.0	no-hit	0.0	0
Scaffolds_336	4618	0.3515	0	0.0	no-hit	0.0	0
Scaffolds_337	5097	0.5605	0	0.0	undef	3389.0	0
Scaffolds_338	25252	0.3833	0	0.2873	no-hit	0.0	0
Scaffolds_339	27549	0.4214	0	0.0	no-hit	0.0	0
Scaffolds_340	24101	0.5799	0	0.0	undef	4700.0	0
Scaffolds_341	5010	0.6128	0	0.0	undef	652.0	0
Scaffolds_342	29744	0.3618	0	0.0	undef	2412.0	0
Scaffolds_343	5826	0.5644	0	0.0315	undef	309.0	0
Scaffolds_344	24405	0.5387	0	0.0	undef	520.0	0
Scaffolds_345	173949	0.3789	0	63.6486	undef	180.0	0
Scaffolds_346	28888	0.3622	0	0.0	undef	1225.0	0
Scaffolds_347	21628	0.3702	0	1.0063	no-hit	0.0	0
Scaffolds_348	1209476	0.6225	0	0.0004	undef	2778.0	0
Scaffolds_349	17916	0.477	0	0.0	undef	861.0	0
Scaffolds_350	5574	0.5832	0	0.0	undef	974.0	0
Scaffolds_351	58833	0.6842	0	0.0125	undef	3349.0	0
Scaffolds_352	13828	0.3728	0	0.0	undef	1037.0	0
Scaffolds_353	50335	0.3296	0	0.0	undef	2536.0	0
Scaffolds_354	18516	0.4018	0	0.2033	no-hit	0.0	0
Scaffolds_355	10556	0.4109	0	0.0	no-hit	0.0	0
Scaffolds_356	9802	0.3747	0	0.9837	no-hit	0.0	0
Scaffolds_357	23012	0.3832	0	0.1197	no-hit	0.0	0
Scaffolds_358	6143	0.3845	0	0.0	no-hit	0.0	0
Scaffolds_359	14976	0.5739	0	0.0	undef	278.0	0
Scaffolds_360	11331	0.6247	0	0.0	no-hit	0.0	0
Scaffolds_361	28185	0.5924	0	0.0	undef	9046.0	0
Scaffolds_362	22077	0.4531	0	0.0	no-hit	0.0	0
Scaffolds_363	5842	0.5933	0	0.0	no-hit	0.0	0
Scaffolds_364	19132	0.5659	0	0.0	undef	2209.0	0
Scaffolds_365	9146	0.4482	0	0.0	no-hit	0.0	0
Scaffolds_366	16383	0.44	0	0.0	no-hit	0.0	0
Scaffolds_367	24734	0.3754	0	0.6386	no-hit	0.0	0
Scaffolds_368	12748	0.3856	0	0.0432	no-hit	0.0	0
Scaffolds_369	5082	0.595	0	0.0	undef	857.0	0
Scaffolds_370	7976	0.3739	0	0.0	no-hit	0.0	0
Scaffolds_371	16051	0.7091	0	0.0	no-hit	0.0	0
Scaffolds_372	7322	0.3401	0	0.0	no-hit	0.0	0
Scaffolds_373	17034	0.3909	0	0.0	undef	752.0	0
Scaffolds_374	75402	0.3824	0	9.2315	undef	228.0	0
Scaffolds_375	1631807	0.3935	0	39.7812	undef	228.0	0
Scaffolds_376	5867	0.466	0	0.0	no-hit	0.0	0
Scaffolds_377	21089	0.3339	0	0.0	undef	784.0	0
Scaffolds_378	6790	0.4807	0	0.0	no-hit	0.0	0
Scaffolds_379	13830	0.5531	0	0.0	undef	2660.0	0
Scaffolds_380	17123	0.4003	0	0.4076	no-hit	0.0	0
Scaffolds_381	6315	0.3489	0	0.0	undef	542.0	0
Scaffolds_382	5127	0.5691	0	0.0	no-hit	0.0	0
Scaffolds_383	18771	0.6299	0	0.0	undef	717.0	0
Scaffolds_384	6595	0.5683	0	0.0	undef	1528.0	0
Scaffolds_385	96796	0.7105	0	0.0057	undef	6505.0	0
Scaffolds_386	14517	0.5534	0	0.0	no-hit	0.0	0
Scaffolds_387	5092	0.4073	0	0.0	no-hit	0.0	0
Scaffolds_388	44036	0.5953	0	0.0	undef	2808.0	0
Scaffolds_389	5509	0.6386	0	0.0	no-hit	0.0	0
