## 1.1.1								
## assembly	: /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/renamed_Tethya_minuta_all_LRScaf_2.fasta							
## coverage	 bam0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/sorted_mapped_short_reads_Tethya_minuta.bam							
## taxonomy	 tax0 - /dss/dssfs02/lwp-dss-0001/pn69xe/pn69xe-dss-0000/di52zuc/program/blobtools/modified_megablast.out							
## nodesDB	: None							
## taxrule	: bestsum							
## min_score	: 0.0							
## min_diff	: 0.0							
## tax_collision_random	: False							
##								
scaffold	length	GC_raw	N	coverage	phylum.t.6s	phylum.s.7s	phylum.c.8	GC
Scaffolds_40	701041	0.3888	4017	9.9221	Chordata	193	0	38.88
Scaffolds_41	26730	0.4288	6077	4.0892	no-hit	0	0	42.88
Scaffolds_42	3169	0.3541	0	10.8387	no-hit	0	0	35.41
Scaffolds_43	282425	0.3803	0	22.7485	Cnidaria	193	0	38.03
Scaffolds_44	938770	0.3787	0	20.8308	Arthropoda	195	0	37.87
Scaffolds_45	469646	0.3917	23841	14.816	no-hit	0	0	39.17
Scaffolds_46	14207	0.4107	0	18.7383	no-hit	0	0	41.07
Scaffolds_47	51088	0.3801	0	14.0421	no-hit	0	0	38.01
Scaffolds_48	42844	0.3809	0	16.7306	no-hit	0	0	38.09
Scaffolds_49	32796	0.5668	721	4.1793	Proteobacteria	16214	0	56.68
Scaffolds_50	554491	0.3883	18439	16.5605	no-hit	0	0	38.83
Scaffolds_51	54569	0.3958	0	25.5569	no-hit	0	0	39.58
Scaffolds_52	6109	0.3981	0	36.0887	no-hit	0	0	39.81
Scaffolds_53	788386	0.3869	0	20.4588	Porifera	407	0	38.69
Scaffolds_54	59229	0.3592	7521	0.0506	Bacteroidetes	1064	0	35.92
Scaffolds_55	59445	0.5941	0	0.088	Proteobacteria	2494	0	59.41
Scaffolds_56	109215	0.6135	0	0.1443	Proteobacteria	2401	0	61.35
Scaffolds_57	11998	0.3323	0	24.5184	no-hit	0	0	33.23
Scaffolds_58	1043729	0.3903	6337	21.1788	Arthropoda	246	0	39.03
Scaffolds_59	61433	0.6587	12080	20.6479	Proteobacteria	1727	0	65.87
Scaffolds_60	518110	0.3762	8148	10.1086	Porifera	320	0	37.62
Scaffolds_61	70971	0.639	3583	18.5185	Proteobacteria	154	0	63.9
Scaffolds_62	107981	0.4057	7299	102.0349	Porifera	3932	0	40.57
Scaffolds_63	259293	0.3906	2261	12.3747	Chordata	436	0	39.06
Scaffolds_64	32001	0.3619	2692	24.5361	no-hit	0	0	36.19
Scaffolds_65	32632	0.572	6338	5.1065	Proteobacteria	4246	0	57.2
Scaffolds_66	269863	0.3788	5804	21.7547	no-hit	0	0	37.88
Scaffolds_67	53212	0.3927	2410	11.534	no-hit	0	0	39.27
Scaffolds_68	25947	0.372	3525	31.4992	no-hit	0	0	37.2
Scaffolds_69	754858	0.5872	16668	0.094	Proteobacteria	5062	0	58.72
Scaffolds_70	7470	0.3841	0	14.2026	no-hit	0	0	38.41
Scaffolds_71	457773	0.3764	0	18.1059	no-hit	0	0	37.64
Scaffolds_72	530323	0.3836	0	22.1939	no-hit	0	0	38.36
Scaffolds_73	417684	0.478	1830	0.2976	Chlamydiae	3051	0	47.8
Scaffolds_74	60570	0.3692	2613	12.3203	no-hit	0	0	36.92
Scaffolds_75	167010	0.379	0	8.9883	Arthropoda	224	0	37.9
Scaffolds_76	138639	0.3898	6095	7.5382	no-hit	0	0	38.98
Scaffolds_77	88722	0.5593	0	3.2322	Proteobacteria	1631	0	55.93
Scaffolds_78	102952	0.5829	1040	0.0727	Proteobacteria	26498	0	58.29
Scaffolds_79	36965	0.6419	0	21.5367	Proteobacteria	1844	0	64.19
Scaffolds_80	285074	0.6137	0	22.8221	Proteobacteria	1284	0	61.37
Scaffolds_81	901155	0.6383	0	27.1045	Proteobacteria	2098	0	63.83
Scaffolds_82	127224	0.6454	10681	21.845	Proteobacteria	2494	0	64.54
Scaffolds_83	297684	0.3872	696	21.1459	Arthropoda	289	0	38.72
Scaffolds_84	469797	0.628	2321	22.1931	Proteobacteria	1472	0	62.8
Scaffolds_85	306253	0.3829	0	20.2176	no-hit	0	0	38.29
Scaffolds_86	28469	0.3678	0	18.6715	no-hit	0	0	36.78
Scaffolds_87	10970	0.3594	0	7.6523	no-hit	0	0	35.94
Scaffolds_88	164384	0.382	17380	20.8391	no-hit	0	0	38.2
Scaffolds_89	28527	0.3824	0	18.076	no-hit	0	0	38.24
Scaffolds_90	36408	0.3802	0	19.0838	no-hit	0	0	38.02
Scaffolds_91	24122	0.3756	0	16.0907	no-hit	0	0	37.56
Scaffolds_92	227001	0.3816	0	10.1123	Chordata	195	0	38.16
Scaffolds_93	659545	0.7044	4311	21.2977	Proteobacteria	2593	0	70.44
Scaffolds_94	16839	0.5563	0	5.2181	Proteobacteria	3794	0	55.63
Scaffolds_95	42883	0.7632	3093	16.4963	no-hit	0	0	76.32
Scaffolds_96	1197368	0.3905	0	10.4851	Chordata	191	0	39.05
Scaffolds_97	51654	0.6774	3862	2.8246	Proteobacteria	1733	0	67.74
Scaffolds_98	644476	0.3828	7363	21.5538	Chordata	414	0	38.28
Scaffolds_99	494368	0.3848	2215	18.3999	Chordata	448	0	38.48
Scaffolds_100	314385	0.3843	304	12.2134	Porifera	255	0	38.43
Scaffolds_101	2071567	0.5322	209	5.473	Bacteria-undef	2100	0	53.22
Scaffolds_102	7254	0.6228	0	40.2528	Proteobacteria	185	0	62.28
Scaffolds_103	745586	0.5966	0	109.2648	Proteobacteria	1334	0	59.66
Scaffolds_104	472624	0.6094	0	101.4862	Proteobacteria	1574	0	60.94
Scaffolds_105	152163	0.3984	8258	118.0511	Porifera	4229	0	39.84
Scaffolds_106	2148092	0.3908	14430	16.9447	Chordata	250	0	39.08
Scaffolds_107	63739	0.3811	13947	14.1524	no-hit	0	0	38.11
Scaffolds_108	36458	0.4729	9649	8.08	Proteobacteria	254	0	47.29
Scaffolds_109	111827	0.3742	3308	7.0443	no-hit	0	0	37.42
Scaffolds_110	65322	0.3915	3688	19.6265	no-hit	0	0	39.15
Scaffolds_111	505903	0.3897	6987	21.9155	Arthropoda	226	0	38.97
Scaffolds_112	664379	0.5872	3080	0.0919	Proteobacteria	5062	0	58.72
Scaffolds_113	132439	0.3879	9928	15.8511	no-hit	0	0	38.79
Scaffolds_114	52897	0.387	4411	11.0979	no-hit	0	0	38.7
Scaffolds_115	16482	0.2183	1606	1.3278	no-hit	0	0	21.83
Scaffolds_116	139317	0.3753	3133	9.6888	no-hit	0	0	37.53
Scaffolds_117	17872	0.3698	4288	0.1123	no-hit	0	0	36.98
Scaffolds_118	109355	0.3628	0	5.9519	no-hit	0	0	36.28
Scaffolds_119	73423	0.3824	0	14.7058	no-hit	0	0	38.24
Scaffolds_120	192530	0.3826	0	12.5787	no-hit	0	0	38.26
Scaffolds_121	60057	0.551	2150	0.1843	no-hit	0	0	55.1
Scaffolds_122	107579	0.3867	2451	11.7448	no-hit	0	0	38.67
Scaffolds_123	1519745	0.3879	5073	20.5561	Chordata	176	0	38.79
Scaffolds_124	278038	0.3885	5231	9.1994	no-hit	0	0	38.85
Scaffolds_125	571100	0.6172	1374	93.2496	Proteobacteria	2414	0	61.72
Scaffolds_126	57156	0.4907	7250	2.6715	no-hit	0	0	49.07
Scaffolds_127	14829	0.3547	2759	0.0361	Bacteroidetes	3487	0	35.47
Scaffolds_128	243824	0.652	3014	46.6178	Proteobacteria	1253	0	65.2
Scaffolds_129	5213	0.3992	0	5.3213	no-hit	0	0	39.92
Scaffolds_130	91565	0.3742	0	18.2945	no-hit	0	0	37.42
Scaffolds_131	30539	0.3625	0	5.0173	no-hit	0	0	36.25
Scaffolds_132	109201	0.4748	3299	0.1049	Chlamydiae	152	0	47.48
Scaffolds_133	132104	0.7224	4880	29.4261	Proteobacteria	1136	0	72.24
Scaffolds_134	396455	0.6365	14221	53.6098	Proteobacteria	1816	0	63.65
Scaffolds_135	1077559	0.3845	12022	21.4126	Porifera	327	0	38.45
Scaffolds_136	1209476	0.6225	0	11.3345	Proteobacteria	2778	0	62.25
Scaffolds_137	969337	0.3879	678	19.7745	Porifera	540	0	38.79
Scaffolds_138	148240	0.3796	2590	19.1028	no-hit	0	0	37.96
Scaffolds_139	87221	0.3841	0	21.6042	Porifera	289	0	38.41
Scaffolds_140	246063	0.3837	0	19.9685	Arthropoda	928	0	38.37
Scaffolds_141	500204	0.383	0	20.5671	no-hit	0	0	38.3
Scaffolds_142	479561	0.3772	2066	16.1469	Arthropoda	161	0	37.72
Scaffolds_143	553638	0.6509	4443	52.1288	Proteobacteria	1406	0	65.09
Scaffolds_144	111156	0.7076	9408	12.9215	Proteobacteria	1131	0	70.76
Scaffolds_145	211448	0.5992	7725	0.0752	Proteobacteria	45325	0	59.92
Scaffolds_146	2027610	0.3873	5791	20.7314	Chordata	702	0	38.73
Scaffolds_147	140779	0.7219	2460	41.8245	Proteobacteria	3003	0	72.19
Scaffolds_148	370252	0.4715	5105	0.1223	Chlamydiae	883	0	47.15
Scaffolds_149	239730	0.5823	5796	0.4805	Proteobacteria	950	0	58.23
Scaffolds_150	1967258	0.3859	4924	18.1773	Porifera	320	0	38.59
Scaffolds_151	35084	0.3943	0	16.366	no-hit	0	0	39.43
Scaffolds_152	63752	0.3843	0	20.478	no-hit	0	0	38.43
Scaffolds_153	115109	0.3773	0	14.0485	no-hit	0	0	37.73
Scaffolds_154	39251	0.36	1382	14.7961	no-hit	0	0	36
Scaffolds_155	73930	0.3577	11357	15.5034	no-hit	0	0	35.77
Scaffolds_156	62392	0.3807	2648	7.6392	no-hit	0	0	38.07
Scaffolds_157	17870	0.3913	0	17.6524	no-hit	0	0	39.13
Scaffolds_158	89201	0.3824	0	23.1159	Chordata	750	0	38.24
Scaffolds_159	441878	0.3824	0	20.6964	Porifera	324	0	38.24
Scaffolds_160	675768	0.3821	2162	19.8913	Porifera	453	0	38.21
Scaffolds_161	223170	0.3882	3481	14.7341	no-hit	0	0	38.82
Scaffolds_162	137344	0.611	3932	91.6745	Proteobacteria	671	0	61.1
Scaffolds_163	13592	0.6504	0	106.0247	no-hit	0	0	65.04
Scaffolds_164	296665	0.6199	0	105.0523	Proteobacteria	1157	0	61.99
Scaffolds_165	901155	0.6383	0	27.2325	Proteobacteria	2098	0	63.83
Scaffolds_166	57315	0.7072	12510	16.9853	no-hit	0	0	70.72
Scaffolds_167	498008	0.3856	1064	15.9921	no-hit	0	0	38.56
Scaffolds_168	57899	0.6912	14648	15.1158	no-hit	0	0	69.12
Scaffolds_169	429912	0.596	1896	0.0996	Proteobacteria	3193	0	59.6
Scaffolds_170	267716	0.3913	3388	10.189	no-hit	0	0	39.13
Scaffolds_171	23012	0.3832	0	13.7301	no-hit	0	0	38.32
Scaffolds_172	334139	0.3795	1724	21.0698	no-hit	0	0	37.95
Scaffolds_173	144802	0.3858	0	6.8243	no-hit	0	0	38.58
Scaffolds_174	1043281	0.3833	0	20.5836	Chordata	420	0	38.33
Scaffolds_175	76459	0.6062	0	106.3097	Proteobacteria	479	0	60.62
Scaffolds_176	16961	0.6656	0	57.3882	no-hit	0	0	66.56
Scaffolds_177	696990	0.3805	11539	14.8292	no-hit	0	0	38.05
Scaffolds_178	131254	0.3791	2152	17.0701	no-hit	0	0	37.91
Scaffolds_179	40215	0.5184	3865	0.0639	no-hit	0	0	51.84
Scaffolds_180	32862	0.3789	0	9.8577	no-hit	0	0	37.89
Scaffolds_181	1992245	0.3872	14625	21.3348	Nematoda	267	0	38.72
Scaffolds_182	32859	0.4347	2577	6.055	no-hit	0	0	43.47
Scaffolds_183	12330	0.5846	2511	4.7628	Proteobacteria	3297	0	58.46
Scaffolds_184	1696831	0.6925	4779	43.1433	Proteobacteria	3422	0	69.25
Scaffolds_185	25531	0.3736	8570	15.8156	no-hit	0	0	37.36
Scaffolds_186	96206	0.4049	123	19.4605	no-hit	0	0	40.49
Scaffolds_187	260330	0.3759	0	20.5528	no-hit	0	0	37.59
Scaffolds_188	495100	0.6109	10568	101.2202	Proteobacteria	1437	0	61.09
Scaffolds_189	144240	0.5889	1016	0.0801	Proteobacteria	22663	0	58.89
Scaffolds_190	25893	0.6947	4431	1.3027	Proteobacteria	931	0	69.47
Scaffolds_191	441865	0.3843	9591	23.2794	Porifera	1114	0	38.43
Scaffolds_192	421802	0.391	2406	10.1578	Porifera	603	0	39.1
Scaffolds_193	876994	0.3833	2632	17.1154	Arthropoda	143	0	38.33
Scaffolds_194	35062	0.3791	1901	11.0499	no-hit	0	0	37.91
Scaffolds_195	858504	0.3802	2489	20.5568	Basidiomycota	171	0	38.02
Scaffolds_196	541223	0.3949	2212	21.8327	Mollusca	185	0	39.49
Scaffolds_197	375203	0.7005	1579	43.4944	Proteobacteria	2300	0	70.05
Scaffolds_198	36572	0.3737	8226	26.4789	no-hit	0	0	37.37
Scaffolds_199	480716	0.3766	7310	20.5619	no-hit	0	0	37.66
Scaffolds_200	1150242	0.382	647	21.1284	Arthropoda	577	0	38.2
Scaffolds_201	24441	0.3832	4550	13.0442	no-hit	0	0	38.32
Scaffolds_202	5771	0.3388	0	5.0584	no-hit	0	0	33.88
Scaffolds_203	13840	0.3523	0	16.192	no-hit	0	0	35.23
Scaffolds_204	69890	0.3884	0	6.7568	no-hit	0	0	38.84
Scaffolds_205	24886	0.3766	0	21.8879	no-hit	0	0	37.66
Scaffolds_206	7231	0.382	0	13.1757	no-hit	0	0	38.2
Scaffolds_207	27040	0.3553	2550	0.0415	Bacteroidetes	486	0	35.53
Scaffolds_208	262187	0.3812	1005	32.1637	no-hit	0	0	38.12
Scaffolds_209	344756	0.3848	2906	22.0789	Arthropoda	287	0	38.48
Scaffolds_210	1030245	0.3801	2657	20.9337	no-hit	0	0	38.01
Scaffolds_211	881861	0.393	4874	20.3445	Porifera	496	0	39.3
Scaffolds_212	108552	0.3856	7498	21.0808	no-hit	0	0	38.56
Scaffolds_213	54083	0.3906	12332	11.3941	no-hit	0	0	39.06
Scaffolds_214	14596	0.3567	2351	0.0237	Bacteroidetes	1559	0	35.67
Scaffolds_215	37304	0.3767	8545	54.4698	no-hit	0	0	37.67
Scaffolds_216	60564	0.579	0	0.0659	Proteobacteria	1742	0	57.9
Scaffolds_217	16403	0.3699	2895	0.1183	Bacteroidetes	1267	0	36.99
Scaffolds_218	131451	0.3859	5704	20.5608	no-hit	0	0	38.59
Scaffolds_219	286800	0.3738	2315	18.8707	Chordata	182	0	37.38
Scaffolds_220	183373	0.3762	432	20.6367	no-hit	0	0	37.62
Scaffolds_221	6137	0.3942	0	5.6679	no-hit	0	0	39.42
Scaffolds_222	117403	0.392	3049	33.8377	no-hit	0	0	39.2
Scaffolds_223	43544	0.7158	1919	23.7312	no-hit	0	0	71.58
Scaffolds_224	984923	0.3826	10093	19.1025	Cnidaria	172	0	38.26
Scaffolds_225	271016	0.6317	8198	20.9034	Proteobacteria	1330	0	63.17
Scaffolds_226	350636	0.7085	3447	40.9712	Proteobacteria	2394	0	70.85
Scaffolds_227	51383	0.3978	1712	15.4807	Porifera	1297	0	39.78
Scaffolds_228	342101	0.3798	0	20.966	no-hit	0	0	37.98
Scaffolds_229	81042	0.3875	4018	7.6036	no-hit	0	0	38.75
Scaffolds_230	16115	0.5424	1309	6.0523	no-hit	0	0	54.24
Scaffolds_231	143470	0.5946	0	0.3427	Proteobacteria	2071	0	59.46
Scaffolds_232	96607	0.7082	5793	20.6072	Proteobacteria	1123	0	70.82
Scaffolds_233	25436	0.592	3331	4.0407	Proteobacteria	5330	0	59.2
Scaffolds_234	269881	0.6364	1583	22.7973	Proteobacteria	1162	0	63.64
Scaffolds_235	249446	0.6965	1722	39.3716	Proteobacteria	3435	0	69.65
Scaffolds_236	1190679	0.5948	0	1.4103	Proteobacteria	1480	0	59.48
Scaffolds_237	487549	0.5782	1614	0.0797	Proteobacteria	5062	0	57.82
Scaffolds_238	25380	0.3775	0	7.6022	no-hit	0	0	37.75
Scaffolds_239	210643	0.3839	13191	16.5835	no-hit	0	0	38.39
Scaffolds_240	364443	0.6377	0	25.8749	Proteobacteria	1260	0	63.77
Scaffolds_241	14208	0.5613	544	6.7866	Proteobacteria	767	0	56.13
Scaffolds_242	15137	0.7651	0	11.149	no-hit	0	0	76.51
Scaffolds_243	36383	0.368	0	0.1237	no-hit	0	0	36.8
Scaffolds_244	160833	0.3849	3902	11.7567	no-hit	0	0	38.49
Scaffolds_245	35486	0.4468	10194	6.1931	Proteobacteria	268	0	44.68
Scaffolds_246	247850	0.3799	5537	12.9556	no-hit	0	0	37.99
Scaffolds_247	29941	0.227	492	1.0258	no-hit	0	0	22.7
Scaffolds_248	65737	0.6348	4188	66.1352	Proteobacteria	139	0	63.48
Scaffolds_249	1577474	0.3876	0	10.4064	Chordata	287	0	38.76
Scaffolds_250	62711	0.3857	3350	11.3303	no-hit	0	0	38.57
Scaffolds_251	773658	0.3952	0	10.585	Cnidaria	1079	0	39.52
Scaffolds_252	22306	0.3823	0	5.313	no-hit	0	0	38.23
Scaffolds_253	763023	0.3915	9761	20.58	Chordata	407	0	39.15
Scaffolds_254	5694	0.3704	0	6.5934	no-hit	0	0	37.04
Scaffolds_255	31225	0.379	0	6.328	no-hit	0	0	37.9
Scaffolds_256	39310	0.389	0	15.5727	no-hit	0	0	38.9
Scaffolds_257	7322	0.3401	0	7.7854	no-hit	0	0	34.01
Scaffolds_258	861833	0.3816	2405	20.3241	no-hit	0	0	38.16
Scaffolds_259	734429	0.6997	0	20.6479	Proteobacteria	2551	0	69.97
Scaffolds_260	369669	0.3767	2994	14.3765	no-hit	0	0	37.67
Scaffolds_261	43602	0.3803	0	24.2574	no-hit	0	0	38.03
Scaffolds_262	51745	0.6598	0	3.7821	Proteobacteria	1105	0	65.98
Scaffolds_263	4821	0.5827	0	3.359	Proteobacteria	3031	0	58.27
Scaffolds_264	43945	0.4446	0	2.9579	Chlamydiae	608	0	44.46
Scaffolds_265	12575	0.3909	0	17.174	no-hit	0	0	39.09
Scaffolds_266	5944	0.4531	0	5.2166	no-hit	0	0	45.31
Scaffolds_267	29042	0.3555	0	0.05	Bacteroidetes	1356	0	35.55
Scaffolds_268	10929	0.5895	0	3.7475	Proteobacteria	5177	0	58.95
Scaffolds_269	8497	0.6953	0	26.9462	no-hit	0	0	69.53
Scaffolds_270	6046	0.6596	0	0.1922	no-hit	0	0	65.96
Scaffolds_271	21329	0.4803	0	2.7203	no-hit	0	0	48.03
Scaffolds_272	8808	0.3697	0	6.2823	no-hit	0	0	36.97
Scaffolds_273	16900	0.5321	0	4.1938	Proteobacteria	2833	0	53.21
Scaffolds_274	14464	0.3704	0	0.0201	Bacteroidetes	887	0	37.04
Scaffolds_275	9507	0.7063	0	25.6112	Proteobacteria	405	0	70.63
Scaffolds_276	27174	0.3944	0	18.2839	no-hit	0	0	39.44
Scaffolds_277	25102	0.584	0	2.2391	Proteobacteria	148	0	58.4
Scaffolds_278	503841	0.3981	0	21.9885	Brachiopoda	603	0	39.81
Scaffolds_279	29159	0.5773	0	4.1116	Proteobacteria	6900	0	57.73
Scaffolds_280	24758	0.5729	0	3.6282	Proteobacteria	2017	0	57.29
Scaffolds_281	4964	0.385	0	0	no-hit	0	0	38.5
Scaffolds_282	6352	0.67	0	0.0572	no-hit	0	0	67
Scaffolds_283	34797	0.5838	0	0.0751	no-hit	0	0	58.38
Scaffolds_284	4326	0.4182	0	2.5515	no-hit	0	0	41.82
Scaffolds_285	5369	0.3541	0	0.0812	Bacteroidetes	765	0	35.41
Scaffolds_286	9074	0.6028	0	4.0574	Proteobacteria	2309	0	60.28
Scaffolds_287	17442	0.3656	0	11.6116	no-hit	0	0	36.56
Scaffolds_288	22292	0.4804	0	3.1566	Chlamydiae	204	0	48.04
Scaffolds_289	5724	0.4607	0	0.5328	no-hit	0	0	46.07
Scaffolds_290	39613	0.5503	0	4.1008	Proteobacteria	4913	0	55.03
Scaffolds_291	21968	0.4288	0	5.127	no-hit	0	0	42.88
Scaffolds_292	12692	0.2494	0	1.4418	no-hit	0	0	24.94
Scaffolds_293	10397	0.4253	0	1.2223	no-hit	0	0	42.53
Scaffolds_294	3624	0.7503	0	0.2605	no-hit	0	0	75.03
Scaffolds_295	5970	0.3972	0	12.1029	no-hit	0	0	39.72
Scaffolds_296	6296	0.4744	0	6.482	no-hit	0	0	47.44
Scaffolds_297	26271	0.4114	0	6.7998	no-hit	0	0	41.14
Scaffolds_298	8070	0.6063	0	4.0853	Proteobacteria	617	0	60.63
Scaffolds_299	10864	0.3416	0	0.0535	Bacteroidetes	972	0	34.16
Scaffolds_300	419102	0.3801	0	19.7945	Chordata	187	0	38.01
Scaffolds_301	41490	0.4843	0	2.9666	no-hit	0	0	48.43
Scaffolds_302	28400	0.5485	0	5.4872	Proteobacteria	281	0	54.85
Scaffolds_303	25380	0.3775	0	7.9627	no-hit	0	0	37.75
Scaffolds_304	15817	0.3773	0	12.7265	no-hit	0	0	37.73
Scaffolds_305	15311	0.5774	0	4.1689	Proteobacteria	1596	0	57.74
Scaffolds_306	66591	0.5697	0	2.9563	Proteobacteria	726	0	56.97
Scaffolds_307	6180	0.3317	0	0.094	Bacteroidetes	828	0	33.17
Scaffolds_308	5041	0.3827	0	0.0864	no-hit	0	0	38.27
Scaffolds_309	16705	0.5773	0	3.9167	Proteobacteria	3825	0	57.73
Scaffolds_310	7366	0.5851	0	3.8448	Proteobacteria	5570	0	58.51
Scaffolds_311	5813	0.6573	0	0.837	no-hit	0	0	65.73
Scaffolds_312	4718	0.3855	0	0.1231	no-hit	0	0	38.55
Scaffolds_313	29438	0.5842	0	3.303	Proteobacteria	534	0	58.42
Scaffolds_314	6792	0.6335	0	0.0214	Proteobacteria	331	0	63.35
Scaffolds_315	46074	0.5722	0	4.3201	Proteobacteria	3404	0	57.22
Scaffolds_316	11185	0.3354	0	0.039	Bacteroidetes	1452	0	33.54
Scaffolds_317	291447	0.3808	0	25.2099	no-hit	0	0	38.08
Scaffolds_318	46897	0.5394	0	2.9653	no-hit	0	0	53.94
Scaffolds_319	11013	0.3605	0	0.0659	no-hit	0	0	36.05
Scaffolds_320	26362	0.585	0	2.245	Proteobacteria	560	0	58.5
Scaffolds_321	6540	0.4072	0	3.9196	no-hit	0	0	40.72
Scaffolds_322	167010	0.379	0	9.1023	Arthropoda	224	0	37.9
Scaffolds_323	6817	0.3522	0	0.0639	no-hit	0	0	35.22
Scaffolds_324	35664	0.3797	0	33.3867	no-hit	0	0	37.97
Scaffolds_325	5119	0.387	0	0	Uroviricota	590	0	38.7
Scaffolds_326	339259	0.6332	0	52.9585	Bacteria-undef	2540	0	63.32
Scaffolds_327	7074	0.4187	0	0.0103	no-hit	0	0	41.87
Scaffolds_328	40729	0.4756	0	2.9169	Bacteroidetes	348	0	47.56
Scaffolds_329	7193	0.5366	0	3.9877	Proteobacteria	1144	0	53.66
Scaffolds_330	33737	0.3901	0	11.1884	no-hit	0	0	39.01
Scaffolds_331	7754	0.4625	0	0	no-hit	0	0	46.25
Scaffolds_332	8246	0.3719	0	0.0176	no-hit	0	0	37.19
Scaffolds_333	7456	0.4789	0	2.094	no-hit	0	0	47.89
Scaffolds_334	54538	0.3851	0	12.7757	no-hit	0	0	38.51
Scaffolds_335	9029	0.4143	0	0	no-hit	0	0	41.43
Scaffolds_336	4618	0.3515	0	2.799	no-hit	0	0	35.15
Scaffolds_337	5097	0.5605	0	3.519	Proteobacteria	3389	0	56.05
Scaffolds_338	25252	0.3833	0	31.9605	no-hit	0	0	38.33
Scaffolds_339	27549	0.4214	0	4.4943	no-hit	0	0	42.14
Scaffolds_340	24101	0.5799	0	3.7241	Proteobacteria	4700	0	57.99
Scaffolds_341	5010	0.6128	0	0.1305	Proteobacteria	652	0	61.28
Scaffolds_342	29744	0.3618	0	0.0513	Bacteroidetes	2412	0	36.18
